index,palce,url,is_accessibility,rating,n_reviews,address,price,idx_category,description,lat,long,Coordinate,Is_accessibility,category
13,Pura Puseh,"https://www.google.com/maps/place/Pura+Puseh/@-8.6377815,115.2235639,15z/data=!4m11!1m3!2m2!1smonumen+di+bali!6e1!3m6!1s0x2dd23f9cade3b1fd:0xfb3e4be25dfb1348!8m2!3d-8.6377815!4d115.2415883!15sCg9tb251bWVuIGRpIGJhbGmSAQhtb251bWVudOABAA!16s%2Fg%2F11b88qqm30?entry=ttu",0,4.3,3,"Jl. Sulatri No.55, Penatih, Kec. Denpasar Tim., Kota Denpasar, Bali 80237",15000,0,"Pura Puseh is a temple dedicated to ancestors and village guardian deities. Usually located in the northern part of the village, this temple is often adorned with beautiful classical Balinese architecture and plays an important role in the village community's spiritual life.",-8.637293571,115.2416742,"-8.63729357102902, 115.24167417469614",FALSE,Sejarah
14,Air Terjun Yeh Mesee,"https://www.google.com/maps/place/Air+Terjun+Yeh+Mesee/@-8.2702598,114.6848222,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd165a6f92dc13d:0x701a89789a94e25e!8m2!3d-8.2702651!4d114.6873971!16s%2Fg%2F11ghnyf29w?entry=ttu",0,4.3,7,"PMHP+VXR, Pohsanten, Kec. Mendoyo, Kabupaten Jembrana, Bali 82261",15000,1,"A waterfall located in an area not yet widely visited by tourists, Yeh Mesee offers beautiful waterfall views with a strong flow of water amidst lush tropical forests. This place is perfect for tourists seeking tranquility and pure natural beauty.",-8.270015594,114.6874186,"-8.270015594261633, 114.68741855767144",FALSE,Wisata Alam
15,Sidi Tapa Waterfall,"https://www.google.com/maps/place/Sidi+Tapa+Waterfall/@-8.3551145,114.702788,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd1634010b78511:0x6d4495462805230d!8m2!3d-8.3551198!4d114.7053629!16s%2Fg%2F11p788h39_?entry=ttu",0,4.3,8,"JPV4+X45, Tegal Cangkring, Kec. Mendoyo, Kabupaten Jembrana, Bali 82261",15000,1,This hidden waterfall in Buleleng offers breathtaking natural beauty with water flowing strongly between rocks and green vegetation. The location is often visited by nature lovers and adventurers who want to enjoy Bali's unexplored natural beauty.,-8.354902193,114.7053093,"-8.354902193158976, 114.70530925582139",FALSE,Wisata Alam
16,Taman Siwa,"https://www.google.com/maps/place/Taman+Siwa/@-8.1631561,114.4350204,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd1435602624187:0x26e987bea9834f25!8m2!3d-8.1631614!4d114.4375953!16s%2Fg%2F11sw4kqrhv?entry=ttu",0,4.3,10,"RCPQ+P2Q, Gilimanuk, Kec. Melaya, Kabupaten Jembrana, Bali 82252",15000,4,"This park is a recreational area adorned with statues and reliefs depicting Lord Shiva, one of the principal deities in Hinduism. The park is often used for meditation, yoga, and cultural events, offering a peaceful and spiritual atmosphere.",-8.162911827,114.4375309,"-8.162911826904802, 114.4375309269857",FALSE,Taman
17,Air Terjun Kayangan Sawe,"https://www.google.com/maps/place/Air+Terjun+Kayangan+Sawe/@-8.3327987,114.6370431,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd16237023f17dd:0xa50f0d676b0bac7c!8m2!3d-8.332804!4d114.639618!16s%2Fg%2F11dyb99s4n?entry=ttu",0,4.3,12,"MJ8Q+VRH, Jl. Sawe Rangsasa, Dauhwaru, Kec. Jembrana, Kabupaten Jembrana, Bali 82218",15000,1,"This waterfall is located in a quiet and natural area, offering beautiful waterfall views with a natural pool below. Kayangan Sawe Waterfall is an ideal place to relax and swim in a cool and peaceful environment.",-8.332533303,114.6397146,"-8.332533302838455, 114.63971455952148",FALSE,Wisata Alam
18,Dermaga Cinta,"https://www.google.com/maps/place/Dermaga+Cinta/@-8.1597145,115.0230595,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd19b3fcba612df:0x7bcde688a0f74a24!8m2!3d-8.1597198!4d115.0256344!16s%2Fg%2F11f26fj5r3?entry=ttu",0,4.3,19,"Jl. Desa Kalibukbuk-Anturan, Anturan, Kec. Buleleng, Kabupaten Buleleng, Bali 81152",15000,2,"This beautiful small pier has become a popular spot for couples and visitors seeking a romantic spot. Located by the beach, Love Pier offers stunning sunset views and a serene atmosphere for enjoying moments together.",-8.159448984,115.0256129,"-8.159448984301276, 115.02561294232855",FALSE,Pantai
19,Santhipala Spring Waterfall,"https://google.com/maps/place/Santhipala+Spring+Waterfall/@-8.2860559,115.0193839,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd186e9c1605627:0x8e46a9cd1bed9e11!8m2!3d-8.2860612!4d115.0239973!16s%2Fg%2F11b8c2y3gn?entry=ttu",0,4.3,60,"P27F+HHH, Bengkel, Kec. Busung Biu, Kabupaten Buleleng, Bali 81154",15000,1,"The waterfall flows into a natural pool with clear and fresh water. Santhipala Spring Waterfall offers a peaceful and natural atmosphere, perfect for swimming or simply relaxing and enjoying the surrounding natural beauty.",-8.28572677,115.024008,"-8.285726769516607, 115.02400802883572",FALSE,Wisata Alam
20,Monumen MBO DPRI Sunda Kecil,"https://www.google.com/maps/place/Monumen+MBO+DPRI+Sunda+Kecil/@-8.4510426,115.0773321,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd22f70dc9def8b:0x1e9259520b9b34d6!8m2!3d-8.4510479!4d115.079907!16s%2Fg%2F11c52yjk02?entry=ttu",0,4.3,63,"G3XH+HXM, Jl. Munduk Malang, Dalang, Kec. Selemadeg Tim., Kabupaten Tabanan, Bali 82152",15000,0,This monument was erected to commemorate the Regional Autonomy Grand Council of the Republic of Indonesia (MBO DPRI) for the Lesser Sunda region. The monument reflects the spirit of regional autonomy and political struggle in this area and serves as an important landmark in the history of Bali and Nusa Tenggara.,-8.450756061,115.0798748,"-8.450756060543227, 115.07987481349284",FALSE,Sejarah
21,Pantai Pemuteran Bali,"https://www.google.com/maps/place/Pantai+Pemuteran+Bali/@-8.1713148,113.8675716,10z/data=!4m11!1m3!2m2!1stujuan+wisata+di+bali!6e1!3m6!1s0x2dd1791ab525d7af:0xe598257b5850c8fd!8m2!3d-8.1332721!4d114.6443913!15sChV0dWp1YW4gd2lzYXRhIGRpIGJhbGlaFyIVdHVqdWFuIHdpc2F0YSBkaSBiYWxpkgESdG91cmlzdF9hdHRyYWN0aW9umgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJsYzB4SGJFeEJFQUXgAQA!16s%2Fg%2F11f3jm71yz?entry=ttu",0,4.3,127,"Pemuteran, Kec. Gerokgak, Kabupaten Buleleng, Bali 81155",15000,2,"It is a tourist area between clusters of hills and the expanse of the northern sea of ​​Bali, making this area beautiful, quiet, away from the crowds. The Pemuteran village area is known as a marine conservation area for the world's largest “Biorock” artificial coral reef project. Several foundations and local communities are actively involved in managing coral reef conservation efforts.",-8.101302219,114.643481,"-8.101302219298953, 114.6434809993041",FALSE,Pantai
22,Monumen Operasi Lintas Laut Jawa - Bali,"https://www.google.com/maps/place/Monumen+Operasi+Lintas+Laut+Jawa+-+Bali/@-8.1929022,114.4407447,17z/data=!4m15!1m8!3m7!1s0x2dd143868d1cf367:0x811e85b5b1becbfb!2sMonumen+Operasi+Lintas+Laut+Jawa+-+Bali!8m2!3d-8.1929075!4d114.4433196!10e1!16s%2Fg%2F11bvvzj5ww!3m5!1s0x2dd143868d1cf367:0x811e85b5b1becbfb!8m2!3d-8.1929075!4d114.4433196!16s%2Fg%2F11bvvzj5ww?entry=ttu",0,4.3,174,"RC4V+R8P, Gilimanuk, Kec. Melaya, Kabupaten Jembrana, Bali 82252",10000,0,"This monument commemorates a significant military operation during Indonesia's struggle for independence, specifically the cross-sea operation from Java to Bali. It serves as a reminder of the bravery of the fighters in defending independence and stands as an important symbol in Indonesian military history.",-8.192631407,114.443384,"-8.192631406834884, 114.44338399358723",FALSE,Sejarah
23,Pemandian Air Panas Banjar,"https://www.google.com/maps/place/Pemandian+Air+Panas+Banjar/@-8.3656816,114.2195294,10z/data=!4m11!1m3!2m2!1stujuan+wisata+di+bali!6e1!3m6!1s0x2e6f62183e68d4d7:0xd6004ccdd7930d5e!8m2!3d-8.210536!4d114.967053!15sChV0dWp1YW4gd2lzYXRhIGRpIGJhbGlaFyIVdHVqdWFuIHdpc2F0YSBkaSBiYWxpkgENdGhlcm1hbF9iYXRoc5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VScE5HRlRPVzkzUlJBQuABAA!16s%2Fg%2F1q62gc8c0?entry=ttu",0,4.3,328,"Jalan Banjar, Banjar, Kec. Banjar, Kabupaten Buleleng, Bali 81152",45000,3,"Hot springs complex surrounded by tropical gardens offering pools & showers, plus an eatery & a spa.",-8.181537451,114.9597332,"-8.181537451412662, 114.95973323402637",FALSE,Hiburan
24,Pantai Kayu Putih,"https://www.google.com/maps/place/Pantai+Kayu+Putih/@-8.7226249,114.592745,10z/data=!4m11!1m3!2m2!1spantai+di+bali!6e1!3m6!1s0x2dd24775e701a31b:0xc6b32c03843cee15!8m2!3d-8.6707513!4d115.1427902!15sCg5wYW50YWkgZGkgYmFsaVoQIg5wYW50YWkgZGkgYmFsaZIBBWJlYWNomgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJCY2kxWU9FOW5FQUXgAQA!16s%2Fg%2F11cjk45ms8?entry=ttu",0,4.3,498,"Gang Bintang Laut, Denpasar Selatan, Tibubeneng, Kec. Kuta Utara, Kabupaten Badung, Bali 80223",15000,2,"This beach is famous for its iconic wooden bridge, which is often a favorite photo spot. Kayu Putih Beach offers a serene atmosphere with beautiful sunset views, making it a popular place to relax by the seaside.",-8.635061879,115.1420614,"-8.635061878837636, 115.14206138888787",FALSE,Pantai
25,Pantai Purnama,"https://www.google.com/maps/place/Pantai+Purnama/@-8.7226249,114.592745,10z/data=!4m6!3m5!1s0x2dd215148c93693d:0x385d0c1b1fbff51b!8m2!3d-8.6192976!4d115.3099717!16s%2Fg%2F11bvt2s09y?entry=ttu",0,4.3,874,"Sukawati, Kec. Sukawati, Kabupaten Gianyar, Bali",15000,2,This beautiful black sand beach is often used for religious ceremonies by the local community. Purnama Beach is a tranquil spot suitable for enjoying natural beauty and spiritual activities by the sea.,-8.584822741,115.2903768,"-8.584822741306569, 115.29037681388759",FALSE,Pantai
26,Pantai Thomas,"https://www.google.com/maps/place/Pantai+Thomas/@-8.7226249,114.592745,10z/data=!4m11!1m3!2m2!1spantai+di+bali!6e1!3m6!1s0x2dd2455651a863d5:0xace756491f60ad7d!8m2!3d-8.8134521!4d115.0962459!15sCg5wYW50YWkgZGkgYmFsaVoQIg5wYW50YWkgZGkgYmFsaZIBBWJlYWNomgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU40TTJZeWVFMUJFQUXgAQA!16s%2Fg%2F11g8yhk_t5?entry=ttu",0,4.3,1474,"Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",15000,2,This relatively hidden and lesser-known beach offers soft white sand and clear water. Thomas Beach is a paradise for surfers and visitors looking for a peaceful and beautiful place away from the crowds.,-8.783024643,115.0871297,"-8.783024642714008, 115.08712974999908",FALSE,Pantai
27,Lebih Beach,"https://www.google.com/maps/place/Lebih+Beach/@-8.7226249,114.592745,10z/data=!4m11!1m3!2m2!1spantai+di+bali!6e1!3m6!1s0x2dd2146a984be6c9:0xabf388c60108c661!8m2!3d-8.581006!4d115.355501!15sCg5wYW50YWkgZGkgYmFsaVoQIg5wYW50YWkgZGkgYmFsaZIBBWJlYWNomgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5YUVsSE1ITlJSUkFC4AEA!16s%2Fg%2F1pzsyx0xl?entry=ttu",0,4.3,4423,"Jl. By Pass Ida Bagus Mantra, Lebih, Kec. Gianyar, Kabupaten Gianyar, Bali 80551",15000,2,"The Beach offers black sand but is still beautiful and beautiful, especially when exposed to the sun, the sparkling sand can be seen.The rows of fishing boats on the beach look beautiful in harmony with the nature of the sea and the beach.In addition to enjoying the view of the beach, tourists can enjoy various kinds of culinary made from marine fish.",-8.544083421,115.3466817,"-8.544083421049898, 115.34668174374859",FALSE,Pantai
28,Big Garden Corner,"https://www.google.com/maps/place/Big+Garden+Corner/@-8.6568549,115.2510821,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd24071d99200c3:0x6b8b5fe4aa9162c0!8m2!3d-8.6568602!4d115.253657!16s%2Fg%2F11c0pyr1_h?entry=ttu",0,4.3,6021,"Sanur, Jl. Bypass Ngurah Rai, Kesiman, Denpasar Selatan, Kota Denpasar, Bali 80237",75000,1,"Varied collection of stone sculptures in an outdoor setting, with a playground & restaurant.",-8.656632158,115.2536248,"-8.656632157868753, 115.25362481349283",FALSE,Taman
29,Desa Budaya Kertalangu,"https://www.google.com/maps/place/Desa+Budaya+Kertalangu/@-8.6422294,114.9681637,11z/data=!4m11!1m3!2m2!1sdesa+budaya+bali!6e1!3m6!1s0x2dd23f8b8865388d:0x1250945b03427480!8m2!3d-8.6422294!4d115.2565548!15sChBkZXNhIGJ1ZGF5YSBiYWxpWhIiEGRlc2EgYnVkYXlhIGJhbGmSAQ9jdWx0dXJhbF9jZW50ZXKaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXROSEp4ZUUxUkVBReABAA!16s%2Fg%2F1pxwgx_2j?entry=ttu",1,4.3,2244,"Jl. Bypass Ngurah Rai No.88, Kesiman Kertalangu, Kec. Denpasar Tim., Kota Denpasar, Bali 80237",15000,0,"Jogging is popular at this scenic former village with grassy areas, a pond & a giant gong.",-8.628991607,115.2544949,"-8.628991607280152, 115.2544948677078",TRUE,Sejarah
30,Krisna Funtasticland,"https://www.google.com/maps/place/Krisna+Funtasticland/@-8.1784979,114.9915509,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd18354c1674f11:0xeab10ee4e8cf7f1a!8m2!3d-8.1785032!4d114.9941258!16s%2Fg%2F11c20swxtm?entry=ttu",1,4.3,3939,"RXCV+HMR, Jl. Seririt- Singaraja, Temukus, Kec. Banjar, Kabupaten Buleleng, Bali 81152",100000,3,Kid-oriented amusement park with classic fairground rides & colorful light installations.,-8.178274876,114.9941043,"-8.178274875952578, 114.99410434232857",TRUE,Taman Hiburan
31,KARTIKA CINAWING BEACH,"https://www.google.com/maps/place/KARTIKA+CINAWING+BEACH/@-8.4574797,114.8946018,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd3d3ca540a5189:0x776e54ca59d611f7!8m2!3d-8.457485!4d114.8992152!16s%2Fg%2F11t5y27zw2?entry=ttu",0,4.4,5,"GVVX+2M4, Jl. Raya Denpasar - Gilimanuk, Ubung Kaja, Kec. Pekutatan, Kabupaten Jembrana, Bali",15000,2,The beach offers the beauty of white sand with stunning ocean views. Kartika Cinawing Beach is known for its calm atmosphere and waves that are suitable for various water activities such as snorkeling and swimming. The beach is also popular for enjoying sunrise and Bali's unspoiled natural beauty.,-8.457278063,114.8991937,"-8.457278062772684, 114.89919374232855",FALSE,Pantai
32,Monumen Pendaratan I Gusti Ngurah Rai,"https://www.google.com/maps/place/Monumen+Pendaratan+I+Gusti+Ngurah+Rai/@-8.430243,114.8144061,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd3d406975c2569:0x550169d0955a9d6e!8m2!3d-8.4302483!4d114.816981!16s%2Fg%2F11g98rd34m?entry=ttu",0,4.4,9,"HR98+WQ5, Jalan Pantai, Medewi, Pekutatan, Jembrana Regency, Bali",15000,0,"This monument commemorates the landing of national hero I Gusti Ngurah Rai and his troops during the independence struggle. Located on Seseh beach, the monument reminds visitors of the courage and fighting spirit of the Balinese fighters against the Dutch colonizers.",-8.430009509,114.8170132,"-8.430009509416054, 114.81701318650717",FALSE,Sejarah
33,Air Terjun Yeh Buah,"https://www.google.com/maps/place/Air+Terjun+Yeh+Buah/@-8.3393832,114.747829,17z/data=!4m15!1m8!3m7!1s0x2dd17d7298ec6a85:0xa2feca286660c8a6!2sAir+Terjun+Yeh+Buah!8m2!3d-8.3393885!4d114.7504039!10e1!16s%2Fg%2F11g9nlfmzt!3m5!1s0x2dd17d7298ec6a85:0xa2feca286660c8a6!8m2!3d-8.3393885!4d114.7504039!16s%2Fg%2F11g9nlfmzt?entry=ttu",0,4.4,23,"Yeh Embang Kauh, Kec. Mendoyo, Kabupaten Jembrana, Bali 82261",15000,1,"Nestled in the middle of a lush tropical forest, Yeh Buah Waterfall offers a view of water rushing down into a natural pool below. This place is suitable for travelers who are looking for a nature adventure and enjoy the beauty of unspoiled nature.",-8.339133738,114.750361,"-8.339133738192466, 114.75036100523002",FALSE,Wisata Alam
