Place,Location,Coordinate,Google Maps Rating,Google Reviews (Count),Source,Description,Tourism/Visitor Fee (approx in USD)
Besakih Temple (Pura Besakih),"Besakih countryside, Rendang sub district, Karangasem regency, Bali","8.3739° S, 115.4522° E",4.5,9672,"https://www.google.com/maps/place/Besakih+Great+Temple/@-8.3738651,115.4522394,17z/data=!4m5!3m4!1s0x2dd21cbe3748b2b7:0xbfc39798cd1bb4a!8m2!3d-8.3738651!4d115.4522394","is a pura complex in the village of Besakih on the slopes of Mount Agung in eastern Bali, Indonesia. It is the most important, the largest and holiest temple of Balinese Hinduism,[1] and one of a series of Balinese temples.","Yes, visit to the Besakih Temple (Pura Besakih) are subject to an entrance fee of IDR 60,000 IDR ($ 4 USD) per person for adult, and IDR 30,000 ($ 2 USD) IDR per person for kid."
Kuta Beach,"Kuta District, Badung Regency, southern Bali","8.7185° S, 115.1686° E",4.5,37663,"https://www.google.com/maps/place/Kuta+Beach/@-8.7180325,115.1680346,15z/data=!3m1!4b1!4m5!3m4!1s0x2dd246bc2ab70d43:0x82feaae12f4ab48e!8m2!3d-8.7184926!4d115.1686322","Kuta is a tourist area, administratively an urban village (kelurahan), and the capital of Kuta District, Badung Regency, southern Bali, Indonesia. A former fishing village, it was one of the first towns on Bali to see substantial tourist development, and as a beach resort remains one of Indonesia's major tourist destinations.","Kuta Beach is accessible 24 hours, 7 days a week. No entrance fee is required. Beach chairs with umbrellas cost Rp50. 000 ($ 3.4 USD)"
Pura Penataran Agung Lempuyang,"Jl. Pura Telaga Mas Lempuyang, Tri Buana, Kec. Abang, Kabupaten Karangasem, Bali 80852","8° 23′ 29.24″ S, 115° 37′ 52.7″ E",4.3,6192,"https://www.google.com/maps/place/Pura+Penataran+Agung+Lempuyang/@-8.3913794,115.6306937,17z/data=!3m1!4b1!4m5!3m4!1s0x2dd2071753222893:0x40a0fd58fe779263!8m2!3d-8.3913712!4d115.630697","Pura Penataran Agung Lempuyang is a Balinese Hindu temple or pura located in the slope of Mount Lempuyang in Karangasem, Bali. Pura Penataran Agung Lempuyang is considered as part of a complex of pura surrounding Mount Lempuyang, one of the highly regarded temples of Bali.","If previously visitors could explore the temple and give donations. Now for international visitors, the entrance fee is Rp55.000. The admission ticket doesn’t include a sarong, prepare Rp10.000 for the rent or bring one. Besides the entrance ticket, now to get to the temple visitors will have to park their private vehicles in the parking area. Then continue with the shuttle bus which cost another Rp50.000 for a return trip."
Sidemen Valley,Karangasem regency in East Bali,"8° 29′ 4.08″ S, 115° 26′ 41.02″ E",4.3,172,"https://www.google.com/maps/place/Bali+Countryside+Sidemen/@-8.505544,115.3557232,12z/data=!4m10!1m2!2m1!1ssidemen+valley!3m6!1s0x2dd210f87453e769:0x6c3a2008aef6f898!8m2!3d-8.505544!4d115.425761!15sCg5zaWRlbWVuIHZhbGxleZIBEnRvdXJpc3RfYXR0cmFjdGlvbuABAA!16s%2Fg%2F11bwkgmsh7","Sidemen Valley evokes the feel of Old Bali, before the tourist throngs descended on the island. Sleepy villages snuggle in the valley amid cascading rice terraces, and cloud-capped Mount Agung looms in the background like a benevolent sentry.","Yes, depending on location and places visited."
Tirta Empul Temple,"Jl. Tirta, Manukaya, Kec. Tampaksiring, Kabupaten Gianyar, Bali 80552","8° 24′ 52.8″ S, 115° 18′ 57.6″ E",4.6,16456,"https://www.google.com/maps/place/Pura+Tirta+Empul/@-8.4157038,115.3153042,17z/data=!3m1!4b1!4m5!3m4!1s0x2dd218f4e06131b5:0x53a25a017714ecc1!8m2!3d-8.4158511!4d115.3150247","Tirta Empul temple (Indonesian: Pura Tirta Empul) is a Hindu Balinese water temple located near the town of Tampaksiring, Bali, Indonesia. The temple compound consists of a petirtaan or bathing structure, famous for its holy spring water, where Balinese Hindus go to for ritual purification. The temple pond. has a spring which gives out fresh water regularly, which Balinese Hindus consider to be holy or amritha.[1] Tirta Empul means Holy Spring in Balinese.","Yes, visit to the Tirta Empul Temple are subject to an entrance fee of 50,000 IDR ($ 3.4 USD) per person for adult, and 25,000 IDR ($1.7 USD) per person for kid."
West Bali National Park,"Buleleng Regency, Bali, Indonesia",8°8′S 114°29′E,4.5,2912,"https://www.google.com/maps/place/West+Bali+National+Park/@-8.1276114,114.4731514,17z/data=!3m1!4b1!4m5!3m4!1s0x2dd143657d50a467:0xc6efbc99a654d0b2!8m2!3d-8.1276114!4d114.4753401","West Bali National Park (Indonesian: Taman Nasional Bali Barat) is a national park located in Buleleng Regency, Bali, Indonesia.","Yes, West Bali National Park Entrance Fee: Rp200. 000 - Rp300. 000 ($ 15 USD - 21 USD) Opening Hours: 08:00 - 18:00 Telp. Number: - Address: Desa Pemuteran , Pemuteran, Buleleng , Jembrana, Bali , Indonesia , 81155"
Garuda Wisnu Kencana Cultural Park,"Uluwatu St, Ungasan, South Kuta, Badung Regency, Bali 80364","8.8104° S, 115.1676° E",4.5,50703,"https://www.google.com/maps/place/Garuda+Wisnu+Kencana+Cultural+Park/@-8.8104228,115.1675986,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd244cf54e1dec7:0x1988663e064f5a51!8m2!3d-8.8104228!4d115.1675986!16zL20vMGRyenpx?authuser=0&hl=en","Garuda Wisnu Kencana Cultural Park (Indonesian: Taman Budaya Garuda Wisnu Kencana), or GWK, is a tourist destination and attraction located at Ungasan, Badung on the island of Bali, Indonesia, about 10–15 minutes drive from Ngurah Rai International Airport. It is devoted to the Hindu god Vishnu, and his mount, Garuda, the mythical bird who became his companion.","Yes, Garuda Wisnu Kencana Cultural Park Entrance Fee: Rp100.000 - Rp125.000 ($7 - 8.3 USD) Opening Hours: 08:00 - 22:00 WITA "
Bali Zoo,"Jl. Raya Singapadu, Singapadu, Kec. Sukawati, Kabupaten Gianyar, Bali 80582","8.5913° S, 115.2659° E",4.4,14401,"https://www.google.com/maps/place/Bali+Zoo/@-8.5912638,115.2659161,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd23e3e4361eea5:0x3bf4eb36bfd7c6be!8m2!3d-8.5912638!4d115.2659161!16s%2Fg%2F1tk_rlbg?authuser=0&hl=en","Large zoo featuring orangutans, elephants & African lions, plus interactive encounters & shows.","Yes, Starting From Rp 90.000 ($ 6 USD), Openin Hours: 09:00 - 17:00."
Bali Bird Park,"Jl. Serma Cok Ngurah Gambir Singapadu, Batubulan, Kec. Sukawati, Kabupaten Gianyar, Bali 80582",8°36′0″S 115°15′4″E,4.6,9847,"https://www.google.com/maps/place/Bali+Bird+Park/@-8.59998,115.25185,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd23e4efac54c0f:0x5f8920acf656382c!8m2!3d-8.59998!4d115.25185!16s%2Fm%2F0_fn070?authuser=0&hl=en","Animal park with exotic-bird shows, feedings & displays, plus reptiles, native plants & a cafe.","Yes, The basic Bali Bird Park ticket costs IDR 385.000 ($ 24.54 USD) per person for adults and IDR 192.500 ($12.27 USD) for children between 2 to 12 years old. Apart from this, the reptile park Bali entrance fee is IDR 100.000 ($ 6.37 USD) for adults and IDR 50.000 (INR 237) for children between 3 to 10 years old."
Tirta Gangga,"Jalan Raya Abang Desa Adat, Ababi, Kec. Abang, Kabupaten Karangasem, Bali 80852","8.4123° S, 115.5873° E",4.6,12992,"https://www.google.com/maps/place/Tirta+Gangga/@-8.4123473,115.5872919,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd24736f4379ad1:0x65af03b0d108a7d1!8m2!3d-8.4123473!4d115.5872919!16s%2Fm%2F09rv951?authuser=0&hl=en","Elegant spiritual retreat & gardens surrounded by natural springs, with swimming & picnicking.","Yes, Tirtagangga palace entrance fee is Rp50.000 ($ 3.19 USD)  for international tourists. Visitors could swim in the spring water pool with an extra Rp20.000 ($ 1.27 USD)."
Tegenungan Waterfall,"Jl. Ir. Sutami, Kemenuh, Kec. Sukawati, Kabupaten Gianyar, Bali 80581","8.5754° S, 115.2888° E",4.3,23349,"https://www.google.com/maps/place/Tegenungan+Waterfall/@-8.5753506,115.288777,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd2161beebd0c61:0xc1ae79ddb8410c5e!8m2!3d-8.5753134!4d115.2887691!16s%2Fg%2F11bvx3j8m8?authuser=0&hl=en","Scenic waterfall in a lush jungle setting above a shallow bathing area, with cafes nearby.","Yes, visit to the Tegenungan Waterfall are subject to an entrance fee of 15,000 IDR ($ 0.96 USD) per person for adult and 10,000 IDR ($ 0.64 USD) per person for child. Tickets can be purchased at the ticket counter in the parking area in front of the waterfall entrance."
Bali Swing,"Jl. Dewi Saraswati No.7, Bongkasa Pertiwi, Kec. Abiansemal, Kabupaten Badung, Bali 80352","8°29'36.9""S 115°14'21.2""E",4.5,8311,"https://www.google.com/maps/place/Bali+Swing/@-8.4886834,115.2392541,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd23d2bb78f98e5:0xdc87cb5e74348952!8m2!3d-8.4886742!4d115.2392573!16s%2Fg%2F11dxl6hnl9?authuser=0&hl=en","Adventure outfit offering a range of tours, rafting trips & rope swings with jungle views.","Yes, 10 USD to 45 USD"
Waterboom Bali,"Jl. Kartika Plaza, Tuban, Kec. Kuta, Kabupaten Badung, Bali 80361","8.7286° S, 115.1694° E",4.7,10650,"https://www.google.com/maps/place/Waterbom+Bali/@-8.7285745,115.1693743,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd246a3ee8f82df:0x1291d693f3407fa5!8m2!3d-8.7285759!4d115.1693786!16s%2Fg%2F1tdz276n?authuser=0&hl=en","Lively water park with a rides for all ages, plus restaurants, a food court & a swim-up bar.","Yes, However, single days pass costs around IDR 355,000 ($ 22.63 USD) for children who are 2 to 11 years old, IDR 495,000 ($ 31.55 USD) for adults, and IDR 1,565,000 ($ 99.75 USD) for family (2 adults, 2 children). There is a two-day pass also for those who want to visit again."
Campuhan Ridge Walk,"Kelusa, Payangan, Jl. Raya Campuhan, Sayan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571","8.5036° S, 115.2547° E",4.4,9019,"https://www.google.com/maps/place/Campuhan+Ridge+Walk/@-8.5036172,115.2547038,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd23d6bcaf473f5:0x7c13fd74aa1bc49f!8m2!3d-8.5036172!4d115.2547038!16s%2Fg%2F11bv_dhkhx?authuser=0&hl=en","Lush, scenic locale known for its mellow hiking trails & sweeping hilltop views.","Campuhan Ridge Walk is a free and easy nature trek, popular among regular visitors in the central highland town of Ubud. This trail presents a pristine outback to escape from the contemporary boutique, guesthouse and restaurant-lined Jalan Raya Ubud."
Bali Safari and Marine Park,"Jl. Prof. Dr. Ida Bagus Mantra No.km 19, Serongga, Kec. Gianyar, Kabupaten Gianyar, Bali 80551","8° 35' 27.024"" S, 115° 20' 31.344"" E",4.4,16042,"https://www.google.com/maps/place/Bali+Safari+and+Marine+Park/@-8.580947,115.3452337,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd21446b81f7d39:0x34b39c786c2e54ec!8m2!3d-8.580947!4d115.3452337!16s%2Fm%2F0lkqtcl?authuser=0&hl=en","Family-friendly locale offering safaris for animal viewing, elephant rides & a water park.","Yes, the basic Bali Safari and Marine Park entry fee is IDR 720,000 ($ 45.89 USD) for adults and IDR 576,000 ($ 36.71 USD) for children. Apart from this, if one wants to take a pickup service, they have to pay an extra amount of IDR 450,000 ($ 28.68 USD) per car for both ways"
Bajra Sandhi Monument,"Jl. Raya Puputan No.142, Panjer, Denpasar Selatan, Kota Denpasar, Bali 80234","8.6717° S, 115.2339° E",4.6,12694,"https://www.google.com/maps/place/Bajra+Sandhi+Monument/@-8.6717348,115.233902,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd240f5b0baad2f:0xf67150ab4e009a2c!8m2!3d-8.6717348!4d115.233902!16s%2Fm%2F0n45qhz?authuser=0&hl=en","Ornate, landmark monument to the Balinese people, with a grassy surrounding park.","Yes, visit to the Bajra Sandhi Monument are subject to an entrance IDR 30,000 for adult and IDR 15,000 for child ($0.96 - 1.91 USD)."
Sukawati Art Market,"Jalan Raya Sukawati, Sukawati, Kec. Sukawati, Kabupaten Gianyar, Bali 80582","8.5965° S, 115.2826° E",4.3,8248,"https://www.google.com/maps/place/Sukawati+Art+Market/@-8.5965307,115.2826055,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd23e28616c410d:0x960eaffe9f543e3c!8m2!3d-8.5965307!4d115.2826055!16s%2Fg%2F11gzm8537?authuser=0&hl=en","Colorful marketplace with merchants selling apparel, jewelry, locally made souvenirs & more.","Yes, depending on location and places visited."
Taman Ujung,"Ujung Water Palace, Tumbu, Kec. Karangasem, Kabupaten Karangasem, Bali 80811","8.4631° S, 115.6307° E",4.6,3984,"https://www.google.com/maps/place/Taman+Ujung/@-8.4630811,115.6306692,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd20876e3e79815:0xfc9ab3edaa5d11f2!8m2!3d-8.4630811!4d115.6306692!16s%2Fm%2F011l7bd6?authuser=0&hl=en","This scenic, former water palace built in 1909 features gardens, large pools & historical photos.","Yes, 50.000 - 75.000 IDR ($ 3.19 - 4.78 USD)"
Secret Garden Village,"Jl. Raya Denpasar Bedugul km. 36, Mekarsari, Baturiti, Mekarsari, Tabanan, Mekarsari, Kec. Baturiti, Kabupaten Tabanan, Bali 82191","8.3727° S, 115.1933° E",4.6,4432,"https://www.google.com/maps/place/Secret+Garden+Village/@-8.3726762,115.1933301,17z/data=!3m1!4b1!4m9!3m8!1s0x2dd2212ba32a0087:0xabd3c3b7c8f647ef!5m2!4m1!1i2!8m2!3d-8.3726794!4d115.1933311!16s%2Fg%2F11cjhzdxpb?authuser=0&hl=en","Beatiful Garden Located in Jalan Raya Denpasar, Bali.","Yes, starting from 45.000 ($ 2.87 USD)."
Penglipuran Village,"Jl. Penglipuran, Kubu, Kec. Bangli, Kabupaten Bangli, Bali 80611"," 8°25′19″S, 115°21′32″E",4.8,13207,"https://www.google.com/maps/place/Penglipuran+Village/@-8.4222473,115.359306,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd2196eace4f4a9:0x3319169adf0c3419!8m2!3d-8.4222473!4d115.359306!16s%2Fg%2F11g6htx9w5?authuser=0&hl=en",Traditional Balinese village selling handicrafts & local produce & offering homestay accommodation.,"Yes, starting from 50.000 IDR ($ 3.48 USD)."
Banjar Hot Spring,"Jalan Banjar, Banjar, Kec. Banjar, Kabupaten Buleleng, Bali 81152","8.2105° S, 114.9671° E",4.3,2422,"https://www.google.com/maps/place/Banjar+Hot+Spring/@-8.210536,114.967053,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f62183e68d4d7:0xd6004ccdd7930d5e!8m2!3d-8.210536!4d114.967053!16s%2Fg%2F1q62gc8c0?authuser=0&hl=en","Hot springs complex surrounded by tropical gardens offering pools & showers, plus an eatery & a spa.","Yes, starting from IDR 20.000 ($ 1.40 USD)."
Bali Pulina,"Jl. Raya Pujung Kaja, Sebatu, Kec. Tegallalang, Kabupaten Gianyar, Bali 80561","8.4227° S, 115.2788° E",4.5,3960,"https://www.google.com/maps/place/Bali+Pulina/@-8.4227455,115.2788239,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd222990001f90b:0x46117dc3c84b0af2!8m2!3d-8.4227455!4d115.2788239!16s%2Fg%2F11bc7r5jvk?authuser=0&hl=en","Sprawling venue with lush, tropical vegetation, coffee & tea tastings & a zipline through foliage.","Yes, starting from IDR 100.000 ($ 6.37 USD)."
Goa Lawah Temple,"CFX9+9GG, Jl. Raya Goa Lawah, Pesinggahan, Kec. Dawan, Kabupaten Klungkung, Bali 80761","8.5516° S, 115.4688° E",4.7,4479,"https://www.google.com/maps/place/Goa+Lawah+Temple/@-8.5515731,115.4688279,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd212002b27b8a9:0x64d9703162191aad!8m2!3d-8.5515375!4d115.468823!16s%2Fg%2F11g9swjzff?authuser=0&hl=en","This small, 11th-century Balinese Hindu temple was constructed around a bat-filled cave.","Yes, starting from IDR 20.000 ($ 1.40 USD)."
Pantai Batu Bolong,"Jl. Pantai Batu Bolong, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali","8.6595° S, 115.1301° E",4.4,7248,"https://www.google.com/maps/place/Pantai+Batu+Bolong/@-8.6594822,115.1301361,15z/data=!3m1!4b1!4m6!3m5!1s0x2dd2478621f5b693:0xa157bd1e893b4293!8m2!3d-8.6594824!4d115.1301361!16s%2Fg%2F1hc2cr7jt?authuser=0&hl=en",This well-known sandy beach near shops & restaurants is popular with surfers & has board rentals,"Yes, parking fee is included ranging from 5000 IDR (car) and IDR 2000 (motorcycle), ($ 0.13 - 0.32 USD)."
